Cuenta,Subcuenta,Objeto,Ordinal,Aporte nacional,Recursos propios,TOTAL,Código de entidad,Tipo de gasto,Entidad,Código de sector,Sector,Unidad,Código de unidad,Cuenta_n,Subcuenta_n,Objeto_n,Ordinal_n
Gastos de personal,Planta de personal permanente,Salario,,182306000000.0,,182306000000.0,101,Funcionamiento,Congreso de la república,1,Congreso de la república,,,1.0,1.0,1.0,
Gastos de personal,Planta de personal permanente,Contribuciones inherentes a la nómina,,62285000000.0,,62285000000.0,101,Funcionamiento,Congreso de la república,1,Congreso de la república,,,1.0,1.0,2.0,
Gastos de personal,Planta de personal permanente,Remuneraciones no constitutivas de factor salarial,,12775000000.0,,12775000000.0,101,Funcionamiento,Congreso de la república,1,Congreso de la república,,,1.0,1.0,3.0,
Adquisición de bienes  y servicios,,,,57553000000.0,,57553000000.0,101,Funcionamiento,Congreso de la república,1,Congreso de la república,,,2.0,,,
Transferencias corrientes,A gobiernos y organizaciones internacionales,A organizaciones internacionales,,524000000.0,,524000000.0,101,Funcionamiento,Congreso de la república,1,Congreso de la república,,,3.0,2.0,2.0,
Transferencias corrientes,A entidades del gobierno,A órganos del pgn,Otras transferencias - distribución previo concepto dgppn,53763000000.0,,53763000000.0,101,Funcionamiento,Congreso de la república,1,Congreso de la república,,,3.0,3.0,1.0,999
Transferencias corrientes,A entidades del gobierno,A otras entidades del gobierno general,"Operación y funcionamiento del centro de altos estudios legislativos jorge aurelio iragorri hormaza (cael), creado por el artículo 6° de la ley 2165 de 2021",10000000000.0,,10000000000.0,101,Funcionamiento,Congreso de la república,1,Congreso de la república,,,3.0,3.0,4.0,073
Transferencias corrientes,Prestaciones para cubrir riesgos sociales,Prestaciones sociales relacionadas con el empleo,Incapacidades y licencias de maternidad y paternidad (no de pensiones),628000000.0,,628000000.0,101,Funcionamiento,Congreso de la república,1,Congreso de la república,,,3.0,4.0,2.0,012
"Gastos por tributos, multas, sanciones e intereses de mora",Impuestos,,,445000000.0,,445000000.0,101,Funcionamiento,Congreso de la república,1,Congreso de la república,,,8.0,1.0,,
"Gastos por tributos, multas, sanciones e intereses de mora",Contribuciones,Cuota de fiscalización y auditaje,,980000000.0,,980000000.0,101,Funcionamiento,Congreso de la república,1,Congreso de la república,,,8.0,4.0,1.0,
Gastos de personal,Planta de personal permanente,Salario,,278610000000.0,,278610000000.0,101,Funcionamiento,Congreso de la república,1,Congreso de la república,,,1.0,1.0,1.0,
Gastos de personal,Planta de personal permanente,Contribuciones inherentes a la nómina,,99282000000.0,,99282000000.0,101,Funcionamiento,Congreso de la república,1,Congreso de la república,,,1.0,1.0,2.0,
Gastos de personal,Planta de personal permanente,Remuneraciones no constitutivas de factor salarial,,17871000000.0,,17871000000.0,101,Funcionamiento,Congreso de la república,1,Congreso de la república,,,1.0,1.0,3.0,
Adquisición de bienes  y servicios,,,,101919000000.0,,101919000000.0,101,Funcionamiento,Congreso de la república,1,Congreso de la república,,,2.0,,,
Transferencias corrientes,A entidades del gobierno,A órganos del pgn,Otras transferencias - distribución previo concepto dgppn,57900000000.0,,57900000000.0,101,Funcionamiento,Congreso de la república,1,Congreso de la república,,,3.0,3.0,1.0,999
Transferencias corrientes,Prestaciones para cubrir riesgos sociales,Prestaciones sociales relacionadas con el empleo,Incapacidades y licencias de maternidad y paternidad (no de pensiones),55000000.0,,55000000.0,101,Funcionamiento,Congreso de la república,1,Congreso de la república,,,3.0,4.0,2.0,012
"Gastos por tributos, multas, sanciones e intereses de mora",Impuestos,,,140000000.0,,140000000.0,101,Funcionamiento,Congreso de la república,1,Congreso de la república,,,8.0,1.0,,
"Gastos por tributos, multas, sanciones e intereses de mora",Tasas y derechos administrativos,,,18000000.0,,18000000.0,101,Funcionamiento,Congreso de la república,1,Congreso de la república,,,8.0,3.0,,
"Gastos por tributos, multas, sanciones e intereses de mora",Contribuciones,Cuota de fiscalización y auditaje,,1168000000.0,,1168000000.0,101,Funcionamiento,Congreso de la república,1,Congreso de la república,,,8.0,4.0,1.0,
"Gastos por tributos, multas, sanciones e intereses de mora","Multas, sanciones e intereses de mora",,,138000000.0,,138000000.0,101,Funcionamiento,Congreso de la república,1,Congreso de la república,,,8.0,5.0,,
Servicio de la deuda pública interna,Principal,Otras cuentas por pagar,,1106000000.0,,1106000000.0,101,Deuda,Congreso de la república,1,Congreso de la república,,,10.0,1.0,3.0,
Mejoramiento de la eficiencia y la transparencia legislativa,Intersubsectorial gobierno,Desarrollo de estrategias para la socialización de la información legislativa del senado de la república  nacional,"5. convergencia regional / c. calidad, efectividad, transparencia y coherencia de las normas",2000000000.0,,2000000000.0,101,Inversión,Congreso de la república,1,Congreso de la república,,,101.0,1000.0,4.0,53105c
Fortalecimiento de la gestión y dirección del sector congreso de la república,Intersubsectorial gobierno,Mejoramiento de las condiciones de seguridad y oportunidad en los desplazamientos de los servidores publicos del senado de la republica   nacional,5. convergencia regional / b. entidades públicas territoriales y nacionales fortalecidas,5602729796.0,,5602729796.0,101,Inversión,Congreso de la república,1,Congreso de la república,,,199.0,1000.0,11.0,53105b
Fortalecimiento de la gestión y dirección del sector congreso de la república,Intersubsectorial gobierno,Mejoramiento de las condiciones de seguridad y oportunidad en los desplazamientos de los servidores publicos del senado de la republica   nacional,5. convergencia regional / b. entidades públicas territoriales y nacionales fortalecidas,39397270204.0,,39397270204.0,101,Inversión,Congreso de la república,1,Congreso de la república,,,199.0,1000.0,11.0,53105b
Fortalecimiento de la gestión y dirección del sector congreso de la república,Intersubsectorial gobierno,Fortalecimiento y modernización de los sistemas de información y de la infraestructura tecnológica del senado de la república   nacional,5. convergencia regional / b. entidades públicas territoriales y nacionales fortalecidas,23263117183.0,,23263117183.0,101,Inversión,Congreso de la república,1,Congreso de la república,,,199.0,1000.0,12.0,53105b
Fortalecimiento de la gestión y dirección del sector congreso de la república,Intersubsectorial gobierno,Fortalecimiento y modernización de los sistemas de información y de la infraestructura tecnológica del senado de la república   nacional,5. convergencia regional / b. entidades públicas territoriales y nacionales fortalecidas,2736882817.0,,2736882817.0,101,Inversión,Congreso de la república,1,Congreso de la república,,,199.0,1000.0,12.0,53105b
Fortalecimiento de la gestión y dirección del sector congreso de la república,Intersubsectorial gobierno,Ampliación y actualización del sistema integrado de seguridad del congreso de la república  nacional,5. convergencia regional / b. entidades públicas territoriales y nacionales fortalecidas,4989428901.0,,4989428901.0,101,Inversión,Congreso de la república,1,Congreso de la república,,,199.0,1000.0,13.0,53105b
